Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,0,3,34.5,0,0,7.8292,0.0,1.0,0.0,1.0,0.0
1,1,3,47.0,1,0,7.0,1.0,0.0,0.0,0.0,1.0
2,0,2,62.0,0,0,9.6875,0.0,1.0,0.0,1.0,0.0
3,0,3,27.0,0,0,8.6625,0.0,1.0,0.0,0.0,1.0
4,1,3,22.0,1,1,12.2875,1.0,0.0,0.0,0.0,1.0
5,0,3,14.0,0,0,9225.0,0.0,1.0,0.0,0.0,1.0
6,1,3,30.0,0,0,7.6292,1.0,0.0,0.0,1.0,0.0
7,0,2,26.0,1,1,29.0,0.0,1.0,0.0,0.0,1.0
8,1,3,18.0,0,0,7.2292,1.0,0.0,1.0,0.0,0.0
9,0,3,21.0,2,0,24.15,0.0,1.0,0.0,0.0,1.0
10,0,3,30.0,0,0,7.8958,0.0,1.0,0.0,0.0,1.0
11,0,1,46.0,0,0,26.0,0.0,1.0,0.0,0.0,1.0
12,1,1,23.0,1,0,82.2667,1.0,0.0,0.0,0.0,1.0
13,0,2,63.0,1,0,26.0,0.0,1.0,0.0,0.0,1.0
14,1,1,47.0,1,0,61175.0,1.0,0.0,0.0,0.0,1.0
15,1,2,24.0,1,0,27.7208,1.0,0.0,1.0,0.0,0.0
16,0,2,35.0,0,0,12.35,0.0,1.0,0.0,1.0,0.0
17,0,3,21.0,0,0,7225.0,0.0,1.0,1.0,0.0,0.0
18,1,3,27.0,1,0,7925.0,1.0,0.0,0.0,0.0,1.0
19,1,3,45.0,0,0,7225.0,1.0,0.0,1.0,0.0,0.0
20,0,1,55.0,1,0,59.4,0.0,1.0,1.0,0.0,0.0
21,0,3,9.0,0,1,3.1708,0.0,1.0,0.0,0.0,1.0
22,1,1,30.0,0,0,31.6833,1.0,0.0,0.0,0.0,1.0
23,0,1,21.0,0,1,61.3792,0.0,1.0,1.0,0.0,0.0
24,1,1,48.0,1,3,262375.0,1.0,0.0,1.0,0.0,0.0
25,0,3,50.0,1,0,14.5,0.0,1.0,0.0,0.0,1.0
26,1,1,22.0,0,1,61.9792,1.0,0.0,1.0,0.0,0.0
27,0,3,22.5,0,0,7225.0,0.0,1.0,1.0,0.0,0.0
28,0,1,41.0,0,0,30.5,0.0,1.0,0.0,0.0,1.0
29,0,3,30.0,2,0,21.6792,0.0,1.0,1.0,0.0,0.0
30,0,2,50.0,1,0,26.0,0.0,1.0,0.0,0.0,1.0
31,0,2,24.0,2,0,31.5,0.0,1.0,0.0,0.0,1.0
32,1,3,33.0,1,2,20575.0,1.0,0.0,0.0,0.0,1.0
33,1,3,30.0,1,2,23.45,1.0,0.0,0.0,0.0,1.0
34,0,1,30.0,1,0,57.75,0.0,1.0,1.0,0.0,0.0
35,0,3,18.5,0,0,7.2292,0.0,1.0,1.0,0.0,0.0
36,1,3,30.0,0,0,8.05,1.0,0.0,0.0,0.0,1.0
37,1,3,21.0,0,0,8.6625,1.0,0.0,0.0,0.0,1.0
38,0,3,25.0,0,0,9.5,0.0,1.0,0.0,0.0,1.0
39,0,3,30.0,0,0,56.4958,0.0,1.0,0.0,0.0,1.0
40,0,3,39.0,0,1,13.4167,0.0,1.0,1.0,0.0,0.0
41,0,1,30.0,0,0,26.55,0.0,1.0,0.0,0.0,1.0
42,0,3,41.0,0,0,7.85,0.0,1.0,0.0,0.0,1.0
43,1,2,30.0,0,0,13.0,1.0,0.0,0.0,0.0,1.0
44,1,1,45.0,1,0,52.5542,1.0,0.0,0.0,0.0,1.0
45,0,3,25.0,0,0,7925.0,0.0,1.0,0.0,0.0,1.0
46,0,1,45.0,0,0,29.7,0.0,1.0,1.0,0.0,0.0
47,0,3,30.0,0,0,7.75,0.0,1.0,0.0,1.0,0.0
48,1,1,60.0,0,0,76.2917,1.0,0.0,1.0,0.0,0.0
49,1,3,36.0,0,2,15.9,1.0,0.0,0.0,0.0,1.0
50,0,1,24.0,1,0,60.0,0.0,1.0,0.0,0.0,1.0
51,0,2,27.0,0,0,15.0333,0.0,1.0,1.0,0.0,0.0
52,1,2,20.0,2,1,23.0,1.0,0.0,0.0,0.0,1.0
53,1,1,28.0,3,2,263.0,1.0,0.0,0.0,0.0,1.0
54,0,2,30.0,0,0,15.5792,0.0,1.0,1.0,0.0,0.0
55,0,3,10.0,4,1,29125.0,0.0,1.0,0.0,1.0,0.0
56,0,3,35.0,0,0,7.8958,0.0,1.0,0.0,0.0,1.0
57,0,3,25.0,0,0,7.65,0.0,1.0,0.0,0.0,1.0
58,0,3,30.0,1,0,16.1,0.0,1.0,0.0,0.0,1.0
59,1,1,36.0,0,0,262375.0,1.0,0.0,1.0,0.0,0.0
60,0,3,17.0,0,0,7.8958,0.0,1.0,0.0,0.0,1.0
61,0,2,32.0,0,0,13.5,0.0,1.0,0.0,0.0,1.0
62,0,3,18.0,0,0,7.75,0.0,1.0,0.0,0.0,1.0
63,1,3,22.0,0,0,7725.0,1.0,0.0,0.0,1.0,0.0
64,0,1,13.0,2,2,262375.0,0.0,1.0,1.0,0.0,0.0
65,1,2,30.0,0,0,21.0,1.0,0.0,0.0,0.0,1.0
66,1,3,18.0,0,0,7.8792,1.0,0.0,0.0,1.0,0.0
67,0,1,47.0,0,0,42.4,0.0,1.0,0.0,0.0,1.0
68,0,1,31.0,0,0,28.5375,0.0,1.0,1.0,0.0,0.0
69,1,1,60.0,1,4,263.0,1.0,0.0,0.0,0.0,1.0
70,1,3,24.0,0,0,7.75,1.0,0.0,0.0,1.0,0.0
71,0,3,21.0,0,0,7.8958,0.0,1.0,0.0,0.0,1.0
72,1,3,29.0,0,0,7925.0,1.0,0.0,0.0,0.0,1.0
73,0,1,28.5,0,0,27.7208,0.0,1.0,1.0,0.0,0.0
74,1,1,35.0,0,0,211.5,1.0,0.0,1.0,0.0,0.0
75,0,1,32.5,0,0,211.5,0.0,1.0,1.0,0.0,0.0
76,0,3,30.0,0,0,8.05,0.0,1.0,0.0,0.0,1.0
77,1,1,55.0,2,0,25.7,1.0,0.0,0.0,0.0,1.0
78,0,2,30.0,0,0,13.0,0.0,1.0,0.0,0.0,1.0
79,1,3,24.0,0,0,7.75,1.0,0.0,0.0,1.0,0.0
80,0,3,6.0,1,1,15.2458,0.0,1.0,1.0,0.0,0.0
81,0,1,67.0,1,0,221.7792,0.0,1.0,0.0,0.0,1.0
82,0,1,49.0,0,0,26.0,0.0,1.0,0.0,0.0,1.0
83,0,3,30.0,0,0,7.8958,0.0,1.0,0.0,0.0,1.0
84,0,2,30.0,0,0,10.7083,0.0,1.0,0.0,1.0,0.0
85,0,3,30.0,1,0,14.4542,0.0,1.0,1.0,0.0,0.0
86,1,3,27.0,0,0,7.8792,1.0,0.0,0.0,1.0,0.0
87,1,3,18.0,0,0,8.05,1.0,0.0,0.0,0.0,1.0
88,1,3,30.0,0,0,7.75,1.0,0.0,0.0,1.0,0.0
89,0,2,2.0,1,1,23.0,0.0,1.0,0.0,0.0,1.0
90,1,3,22.0,1,0,13.9,1.0,0.0,0.0,0.0,1.0
91,0,3,30.0,0,0,7775.0,0.0,1.0,0.0,0.0,1.0
92,1,1,27.0,1,2,52.0,1.0,0.0,0.0,0.0,1.0
93,0,3,30.0,0,0,8.05,0.0,1.0,0.0,0.0,1.0
94,0,1,25.0,0,0,26.0,0.0,1.0,1.0,0.0,0.0
95,0,3,25.0,0,0,7.7958,0.0,1.0,0.0,0.0,1.0
96,1,1,76.0,1,0,78.85,1.0,0.0,0.0,0.0,1.0
97,0,3,29.0,0,0,7925.0,0.0,1.0,0.0,0.0,1.0
98,1,3,20.0,0,0,7.8542,1.0,0.0,0.0,0.0,1.0
99,0,3,33.0,0,0,8.05,0.0,1.0,0.0,0.0,1.0
100,1,1,43.0,1,0,55.4417,1.0,0.0,1.0,0.0,0.0
101,0,2,27.0,1,0,26.0,0.0,1.0,0.0,0.0,1.0
102,0,3,30.0,0,0,7.75,0.0,1.0,0.0,1.0,0.0
103,0,3,26.0,0,0,7775.0,0.0,1.0,0.0,0.0,1.0
104,1,3,16.0,1,1,8.5167,1.0,0.0,1.0,0.0,0.0
105,0,3,28.0,0,0,22525.0,0.0,1.0,0.0,0.0,1.0
106,0,3,21.0,0,0,7.8208,0.0,1.0,0.0,1.0,0.0
107,0,3,30.0,0,0,7.75,0.0,1.0,0.0,1.0,0.0
108,0,3,30.0,0,0,8.7125,0.0,1.0,0.0,0.0,1.0
109,0,2,18.5,0,0,13.0,0.0,1.0,0.0,0.0,1.0
110,0,2,41.0,0,0,15.0458,0.0,1.0,1.0,0.0,0.0
111,1,3,30.0,0,0,7.7792,1.0,0.0,0.0,1.0,0.0
112,1,1,36.0,0,0,31.6792,1.0,0.0,1.0,0.0,0.0
113,1,3,18.5,0,0,7.2833,1.0,0.0,0.0,1.0,0.0
114,1,1,63.0,1,0,221.7792,1.0,0.0,0.0,0.0,1.0
115,0,3,18.0,1,0,14.4542,0.0,1.0,1.0,0.0,0.0
116,0,3,30.0,0,0,6.4375,0.0,1.0,1.0,0.0,0.0
117,1,3,1.0,1,1,16.7,1.0,0.0,0.0,0.0,1.0
118,0,1,36.0,0,0,75.2417,0.0,1.0,1.0,0.0,0.0
119,1,2,29.0,1,0,26.0,1.0,0.0,0.0,0.0,1.0
